Firm Name,CRD Number,AUM (Millions),Website
DAWSON PARTNERS (US) INC.,339430,999.15,"https://ca.linkedin.com/company/dawsonpartners, https://www.instagram.com/dawsonpartners/, https://dawsonpartners.com/"
FIVE ARROWS MANAGERS (USA) LLC,286195,993.69,"https://www.instagram.com/rothschildandco/, https://www.linkedin.com/company/rothschildandco, HTTPS://WWW.ROTHSCHILDANDCO.COM"
CANDER ASSET MANAGEMENT LP,337596,989.01,N/A
TRISPAN (USA) LLC,305501,982.45,"https://WWW.LINKEDIN.COM/COMPANY/TRISPAN-CORP, https://www.instagram.com/trispan_pe/, https://www.trispanllp.com/, https://x.com/TriSpanLLP"
"GREENPOINT GROUP, LP",310532,982.06,"https://www.greenpointpartners.com/, https://www.linkedin.com/company/greenpointpartners/"
VSS FUND MANAGEMENT LLC,156600,977.72,"HTTP://WWW.VSS.COM, https://www.linkedin.com/company/vsscapitalpartners/mycompany/"
NEXWAVE CAPITAL PARTNERS LLC,241788,971.95,"https://www.linkedin.com/company/tishman/, https://www.tishmancapitalpartners.com, https://www.youtube.com/@TishmanIR, https://www.linkedin.com/showcase/tishman-opportunity-zone/about/, https://www.tishmanopportunityzone.com/"
ORANGEWOOD PARTNERS MANAGEMENT LLC,282292,970.65,"https://www.linkedin.com/company/orangewood/, HTTPS://WWW.ORANGEWOODPARTNERS.COM"
"EOS MANAGEMENT, L.P.",158090,969.49,"HTTP://WWW.EOSPARTNERS.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/EOS-PARTNERS/"
"GREENLIGHT MASTERS, LLC",157082,967.19,"HTTP://WWW.GREENLIGHTCAPITAL.COM, HTTP://WWW.LINKEDIN.COM/COMPANY/GREENLIGHT-CAPITAL/ABOUT/"
CURIAM CAPITAL LLC,305220,964.66,"https://www.curiam.com, http://www.twitter.com/curiamcapital, http://www.instagram.com/curiamcapital, http://www.facebook.com/CuriamCapitalLLC, http://www.linkedin.com/company/curiam-capital-llc"
MARITIME CAPITAL LLC,161112,961.22,HTTP://WWW.MARITIMELP.COM/
SANDLER CAPITAL MANAGEMENT,109856,946.87,HTTP://WWW.SANDLERCAP.COM
PETRICHOR HEALTHCARE CAPITAL MANAGEMENT LP,288664,945.24,"https://www.linkedin.com/company/scion-life-sciences/, HTTPS://PETRICHORCAP.COM, https://www.linkedin.com/company/petrichor-healthcare/about/, https://www.scionlifesciences.com"
MILL HILL CAPITAL LLC,269882,944.81,"HTTPS://WWW.LINKEDIN.COM/COMPANY/MILL-HILL-CAPITAL-LLC/, HTTP://WWW.MILLHILLCAP.COM"
NEWBROOK CAPITAL ADVISORS LP,138930,944.79,N/A
"DOME EQUITIES, LLC",159102,942.5,"HTTP://WWW.DOMEEQ.COM, https://www.linkedin.com/company/dome-equities-llc"
"ATIKA CAPITAL MANAGEMENT, LLC",167227,933.8,"https://www.linkedin.com/company/atika-capital-management-llc, HTTP://WWW.ATIKACAPITAL.COM"
E&E ADVISORS L.P.,111300,932.62,N/A
"FREEDOM 3 CAPITAL, LLC",170786,930.18,"HTTP://WWW.FREEDOM3.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/5220689/, HTTP://WWW.FREEDOMIIICAPITAL.COM, HTTP://WWW.FREEDOM3CAPITAL.COM"
"EVERVIEW PARTNERS, L.P.",334067,926.42,"https://www.everviewcap.com, https://www.linkedin.com/company/everview-partners-l-p/"
FIRST SENTIER INVESTORS (US) LLC,170739,922.13,"https://www.firstsentierfunds.com/, https://www.stewartinvestorsfunds.com/, https://www.firstsentiergroup.com/, https://www.firstsentierinvestors.com/, https://www.stewartinvestors.com/, https://www.igneoip.com/, https://www.fssaim.com/"
"RUDIUS MANAGEMENT, L.P.",305465,921.51,N/A
OCTAGON CAPITAL ADVISORS LP,306424,919.79,"HTTPS://WWW.OCTAGONINVESTMENTS.COM, https://www.linkedin.com/company/octagon-capital-advisors"
"CHARLES PRATT & COMPANY, L.L.C.",104864,916.09,HTTP://WWW.CHARLESPRATT.COM
"THAYER STREET PARTNERS MANAGEMENT, LLC",170763,913.56,"HTTP://WWW.THAYERSTREET.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/THAYER-STREET-PARTNERS/"
ROC360 ADVISORS LLC,326954,907.0,N/A
