Firm Name,CRD Number,AUM (Millions),City,State,Website
DAWSON PARTNERS (US) INC.,339430,999.15,NEW YORK,NY,"https://ca.linkedin.com/company/dawsonpartners, https://www.instagram.com/dawsonpartners/, https://dawsonpartners.com/"
FIVE ARROWS MANAGERS (USA) LLC,286195,993.69,NEW YORK,NY,"https://www.instagram.com/rothschildandco/, https://www.linkedin.com/company/rothschildandco, https://www.rothschildandco.com"
CANDER ASSET MANAGEMENT LP,337596,989.01,NEW YORK,NY,N/A
TRISPAN (USA) LLC,305501,982.45,NEW YORK,NY,"https://www.linkedin.com/company/trispan-corp, https://www.instagram.com/trispan_pe/, https://www.trispanllp.com/, https://x.com/trispanllp"
"GREENPOINT GROUP, LP",310532,982.06,NEW YORK,NY,"https://www.greenpointpartners.com/, https://www.linkedin.com/company/greenpointpartners/"
VSS FUND MANAGEMENT LLC,156600,977.72,NEW YORK,NY,"http://www.vss.com, https://www.linkedin.com/company/vsscapitalpartners/mycompany/"
NEXWAVE CAPITAL PARTNERS LLC,241788,971.95,NEW YORK,NY,"https://www.linkedin.com/company/tishman/, https://www.tishmancapitalpartners.com, https://www.youtube.com/@tishmanir, https://www.linkedin.com/showcase/tishman-opportunity-zone/about/, https://www.tishmanopportunityzone.com/"
ORANGEWOOD PARTNERS MANAGEMENT LLC,282292,970.65,NEW YORK,NY,"https://www.linkedin.com/company/orangewood/, https://www.orangewoodpartners.com"
"EOS MANAGEMENT, L.P.",158090,969.49,NEW YORK,NY,"http://www.eospartners.com, https://www.linkedin.com/company/eos-partners/"
"GREENLIGHT MASTERS, LLC",157082,967.19,NEW YORK,NY,"http://www.greenlightcapital.com, http://www.linkedin.com/company/greenlight-capital/about/"
CURIAM CAPITAL LLC,305220,964.66,NEW YORK,NY,"https://www.curiam.com, http://www.twitter.com/curiamcapital, http://www.instagram.com/curiamcapital, http://www.facebook.com/curiamcapitalllc, http://www.linkedin.com/company/curiam-capital-llc"
MARITIME CAPITAL LLC,161112,961.22,NEW YORK,NY,http://www.maritimelp.com/
SANDLER CAPITAL MANAGEMENT,109856,946.87,NEW YORK,NY,http://www.sandlercap.com
